Latitude,Longitude
-6.08168983459,145.391998291
-5.20707988739,145.789001465
-5.82678985596,144.296005249
-6.569803,146.725977
-9.44338035583,147.220001221
-3.58383011818,143.669006348
61.1604995728,-45.4259986877
64.19090271,-51.6781005859
67.0122218992,-50.7116031647
76.5311965942,-68.7032012939
65.6600036621,-18.0727005005
65.2833023071,-14.4013996124
64.295601,-15.2272
65.952301,-17.426001
66.0580978394,-23.1352996826
63.9850006104,-22.6056003571
65.555801,-23.965
64.1299972534,-21.9405994415
66.133301,-18.9167
63.4243011475,-20.2789001465
46.4850006104,-84.5093994141
50.0564002991,-97.0325012207
44.639702,-63.499401
51.3918991089,-56.0830993652
49.079833,-125.775583
68.534401,-89.808098
49.1324996948,-68.2043991089
48.3306007385,-70.9963989258
64.2988967896,-96.077796936
49.9508018494,-125.271003723
49.91,-99.951897
69.1081008911,-105.138000488
49.0549702249,-123.869862556
49.2963981628,-117.632003784
47.007801,-65.449203
47.990799,-66.330299
67.816704,-115.143997
52.0750007629,-111.444999695
49.1528015137,-121.939002991
70.4860992432,-68.5167007446
64.1932983398,-83.3593978882
64.0430984497,-139.128005981
61.3711013794,-139.041000366
49.4681015015,-120.511001587
49.2108001709,-57.3913993835
58.4221992493,-130.031997681
51.1007995605,-100.052001953
55.7422981262,-120.182998657
53.3097000122,-113.580001831
61.0942001343,-94.0708007812
49.2103004456,-102.966003418
53.5788993835,-116.464996338
79.9946975708,-85.814201355
68.3041992188,-133.483001709
63.756402,-68.555801
45.8689002991,-66.5372009277
48.7461013794,-69.0971984863
54.6781005859,-101.681999207
61.1808013916,-113.690002441
61.7602005005,-121.236999512
44.2252998352,-76.5969009399
53.6253013611,-77.7042007446
48.7752990723,-64.4785995483
49.778301239,-86.9393997192
47.4247016907,-61.7780990601
52.8166999817,-102.310997009
49.831699,-92.744202
70.762802124,-117.805999756
68.635597229,-95.8497009277
43.1735992432,-79.9349975586
45.5175018311,-73.4169006348
60.8396987915,-115.782997131
44.8807983398,-63.5085983276
48.7738990784,-91.6386032104
72.6832962036,-77.9666976929
45.2943992615,-73.2810974121
48.5442008972,-58.5499992371
50.7022018433,-120.444000244
43.4608001709,-80.3786010742
54.8053016663,-66.8052978516
51.5175018311,-109.180999756
43.8622016907,-79.3700027466
47.8199996948,-83.3467025757
54.1253013611,-108.523002625
53.3092002869,-110.072998047
82.5177993774,-62.2806015015
49.9561004639,-119.377998352
63.6164016724,-135.867996216
50.3302993774,-105.558998108
56.653301239,-111.222000122
51.2910995483,-80.6078033447
46.2728004456,-75.9906005859
45.679501,-74.038696
50.1899986267,-61.7891998291
45.5217018127,-75.5635986328
49.7616996765,-77.8028030396
67.570602417,-139.839004517
54.4049987793,-110.278999329
58.6213989258,-117.165000916
45.3224983215,-75.6691970825
